,,Site A (Forest),Site A,Site A,Site A,Site A
11/19/15 8:00,8,0,0,0,0,0
11/19/15 11:00,11,0,0,0,,
11/19/15 14:00,14,0,0,0,0,90.238
11/19/15 17:00,17,0,0,0,0,0
11/20/15 8:00,8,0,0,0,,
11/20/15 11:00,11,0,0,0,0,0
11/20/15 14:00,14,25.862,25.862,25.862,0,0
11/20/15 17:00,17,,12.931,0,0,0
11/21/15 8:00,8,0,0,0,0,0
11/21/15 11:00,11,12.931,12.931,12.931,0,0
11/21/15 14:00,14,0,0,0,0,0
11/21/15 17:00,17,0,0,0,0,0
11/22/15 8:00,8,0,0,0,0,0
11/22/15 11:00,11,,0,0,0,0
11/22/15 14:00,14,0,0,0,0,0
11/22/15 17:00,17,0,0,0,0,0
11/23/15 8:00,8,0,0,0,0,0
11/23/15 11:00,11,,0,0,0,0
11/23/15 14:00,14,0,0,0,0,0
11/23/15 17:00,17,0,0,0,0,0
11/24/15 8:00,8,0,0,0,0,0
11/24/15 11:00,11,0,0,0,0,0
11/24/15 14:00,14,0,0,0,0,0
11/24/15 17:00,17,,71.12,71.12,,
11/25/15 8:00,8,142.24,142.24,71.12,125.71,180.48
11/25/15 11:00,11,142.24,142.24,0,125.71,180.48
11/25/15 14:00,14,,149.86,7.62,125.71,180.48
11/25/15 17:00,17,,157.48,7.62,188.57,330.87
11/26/15 8:00,8,165.1,165.1,7.62,94.286,240.63
11/26/15 11:00,11,,153.17,0,62.857,0
11/26/15 14:00,14,,141.24,0,0,120.32
11/26/15 17:00,17,129.31,129.31,0,0,120.32
11/27/15 8:00,8,116.38,116.38,0,0,120.32
11/27/15 11:00,11,,116.38,0,0,0
11/27/15 14:00,14,116.38,116.38,0,0,0
11/27/15 17:00,17,116.38,116.38,0,62.857,90.238
11/28/15 8:00,8,116.38,116.38,0,0,60.159
11/28/15 11:00,11,,116.38,0,0,0
11/28/15 14:00,14,,116.38,0,0,30.079
11/28/15 17:00,17,116.38,116.38,0,0,60.159
11/29/15 8:00,8,90.516,90.516,0,0,0
11/29/15 11:00,11,,94.827,4.3103,62.857,0
11/29/15 14:00,14,,99.137,4.3103,0,0
11/29/15 17:00,17,103.45,103.45,4.3103,0,0
11/30/15 8:00,8,77.585,77.585,0,94.286,120.32
11/30/15 11:00,11,,86.206,8.6206,62.857,0
11/30/15 14:00,14,,94.827,8.6206,0,60.159
11/30/15 17:00,17,103.45,103.45,8.6206,0,0
12/1/15 8:00,8,77.585,77.585,0,0,60.159
12/1/15 11:00,11,,60.344,0,31.429,90.238
12/1/15 14:00,14,,43.103,0,0,120.32
12/1/15 17:00,17,25.862,25.862,0,0,0
12/2/15 8:00,8,12.931,12.931,0,62.857,90.238
12/2/15 11:00,11,,8.6206,0,31.429,0
12/2/15 14:00,14,,4.3103,0,0,0
12/2/15 17:00,17,0,0,0,0,0
12/3/15 8:00,8,0,0,0,0,0
12/3/15 11:00,11,0,0,0,0,0
12/3/15 14:00,14,0,0,0,0,0
12/3/15 17:00,17,0,0,0,0,0
12/4/15 8:00,8,0,0,0,0,120.32
12/4/15 11:00,11,,0,0,0,60.159
12/4/15 14:00,14,0,0,0,0,0
12/4/15 17:00,17,0,0,0,0,0
12/5/15 8:00,8,0,0,0,0,0
12/5/15 11:00,11,,0,0,0,90.238
12/5/15 14:00,14,0,0,0,0,0
12/5/15 17:00,17,0,0,0,0,0
12/6/15 8:00,8,0,0,0,0,0
12/6/15 11:00,11,0,0,0,,
12/6/15 14:00,14,0,0,0,,
12/6/15 17:00,17,0,0,0,,
12/7/15 8:00,8,0,0,0,,
12/7/15 11:00,11,0,0,0,,
12/7/15 14:00,14,0,0,0,,
12/7/15 17:00,17,0,0,0,0,0
12/8/15 8:00,8,0,0,0,0,0
12/8/15 11:00,11,0,0,0,0,0
12/8/15 14:00,14,0,0,0,0,0
12/8/15 17:00,17,0,0,0,0,0
12/9/15 8:00,8,0,0,0,0,0
12/9/15 11:00,11,0,0,0,0,0
12/9/15 14:00,14,0,0,0,0,0
12/9/15 17:00,17,0,0,0,0,0
12/10/15 8:00,8,0,0,0,0,0
12/10/15 11:00,11,0,0,0,,
12/10/15 14:00,14,0,0,0,,
12/10/15 17:00,17,0,0,0,,
12/11/15 8:00,8,,197.11,197.11,0,240.63
12/11/15 11:00,11,394.22,394.22,197.11,125.71,330.87
12/11/15 14:00,14,302.89,302.89,0,,30.079
12/11/15 17:00,17,302.89,302.89,0,,90.238
12/12/15 8:00,8,280.07,280.07,0,,0
12/12/15 11:00,11,,211.16,0,94.286,270.71
12/12/15 14:00,14,142.24,142.24,0,0,30.079
12/12/15 17:00,17,165.1,165.1,22.86,0,30.079
12/13/15 8:00,8,129.31,129.31,0,31.429,150.4
12/13/15 11:00,11,142.24,142.24,12.931,0,0
12/13/15 14:00,14,165.1,165.1,22.86,0,0
12/13/15 17:00,17,348.55,348.55,183.45,125.71,180.48
12/14/15 8:00,8,462.74,462.74,114.19,0,150.4
12/14/15 11:00,11,,394.23,0,31.429,240.63
12/14/15 14:00,14,325.72,325.72,0,0,0
12/14/15 17:00,17,348.55,348.55,22.83,0,180.48
12/15/15 8:00,8,325.72,325.72,0,157.14,300.79
12/15/15 11:00,11,,314.31,0,31.429,90.238
12/15/15 14:00,14,302.89,302.89,0,0,150.4
12/15/15 17:00,17,302.89,302.89,0,0,30.079
12/16/15 8:00,8,280.07,280.07,0,62.857,150.4
12/16/15 11:00,11,,268.66,0,0,0
12/16/15 14:00,14,257.25,257.25,0,0,60.159
12/16/15 17:00,17,280.07,280.07,22.818,0,60.159
12/17/15 8:00,8,234.44,234.44,0,62.857,180.48
12/17/15 11:00,11,,223.04,0,31.429,120.32
12/17/15 14:00,14,211.64,211.64,0,0,90.238
12/17/15 17:00,17,165.1,165.1,0,31.429,90.238
12/18/15 8:00,8,142.24,142.24,0,31.429,90.238
12/18/15 11:00,11,,129.31,0,31.429,
12/18/15 14:00,14,,116.38,0,0,60.159
12/18/15 17:00,17,103.45,103.45,0,0,60.159
12/19/15 8:00,8,90.516,90.516,0,0,90.238
12/19/15 11:00,11,103.45,103.45,12.931,188.57,270.71
12/19/15 14:00,14,462.74,462.74,359.29,125.71,330.87
12/19/15 17:00,17,,422.78,0,31.429,150.4
12/20/15 8:00,8,,382.82,0,0,60.159
12/20/15 11:00,11,,342.86,0,0,180.48
12/20/15 14:00,14,302.89,302.89,0,94.286,240.63
12/20/15 17:00,17,302.89,302.89,0,188.57,300.79
12/21/15 8:00,8,90.516,90.516,0,,
12/21/15 11:00,11,90.516,90.516,0,,
12/21/15 14:00,14,77.585,77.585,0,,
12/21/15 17:00,17,116.38,116.38,38.793,,
12/22/15 8:00,8,142.24,142.24,25.862,,
12/22/15 11:00,11,116.38,116.38,0,,
12/22/15 14:00,14,103.45,103.45,0,,
12/22/15 17:00,17,90.516,90.516,0,94.286,150.4
12/23/15 8:00,8,103.45,103.45,12.931,62.857,150.4
12/23/15 11:00,11,,96.982,0,0,
12/23/15 14:00,14,90.516,90.516,0,0,90.238
12/23/15 17:00,17,90.516,90.516,0,31.429,90.238
12/24/15 8:00,8,103.45,103.45,12.931,NaN,90.238
12/24/15 11:00,11,116.38,116.38,12.931,62.857,120.32
12/24/15 14:00,14,348.55,348.55,232.17,94.286,180.48
12/24/15 17:00,17,485.25,485.25,136.7,157.14,180.48
12/25/15 8:00,8,519.85,519.85,34.598,220,270.71
12/25/15 11:00,11,491.02,491.02,0,157.14,210.56
12/25/15 14:00,14,508.32,508.32,17.299,157.14,210.56
12/25/15 17:00,17,508.32,508.32,0,188.57,300.79
12/26/15 8:00,8,485.25,485.25,0,157.14,240.63
12/26/15 11:00,11,,451.15,0,94.286,0
12/26/15 14:00,14,417.06,417.06,0,0,0
12/26/15 17:00,17,439.9,439.9,22.839,94.286,150.4
12/27/15 8:00,8,394.22,394.22,0,125.71,180.48
12/27/15 11:00,11,,382.8,0,94.286,
12/27/15 14:00,14,371.38,371.38,0,125.71,120.32
12/27/15 17:00,17,348.55,348.55,0,125.71,150.4
12/28/15 8:00,8,325.72,325.72,0,94.286,120.32
12/28/15 11:00,11,325.72,325.72,0,188.57,270.71
12/28/15 14:00,14,348.55,348.55,22.83,125.71,150.4
12/28/15 17:00,17,325.72,325.72,0,282.86,300.79
12/29/15 8:00,8,302.89,302.89,0,157.14,240.63
12/29/15 11:00,11,,291.48,0,31.429,0
12/29/15 14:00,14,280.07,280.07,0,0,0
12/29/15 17:00,17,,280.07,0,62.857,120.32
12/30/15 8:00,8,280.07,280.07,0,62.857,90.238
12/30/15 11:00,11,,268.66,0,31.429,0
12/30/15 14:00,14,257.25,257.25,0,0,0
12/30/15 17:00,17,,268.66,11.409,62.857,60.159
12/31/15 8:00,8,280.07,280.07,11.409,157.14,210.56
12/31/15 11:00,11,,268.66,0,0,0
12/31/15 14:00,14,257.25,257.25,0,,60.159
12/31/15 17:00,17,,245.85,0,94.286,90.238
1/1/16 8:00,8,234.44,234.44,0,157.14,210.56
1/1/16 11:00,11,,234.44,0,125.71,0
1/1/16 14:00,14,234.44,234.44,0,,0
1/1/16 17:00,17,,234.44,0,31.429,150.4
1/2/16 8:00,8,234.44,234.44,0,157.14,120.32
1/2/16 11:00,11,234.44,234.44,0,125.71,120.32
1/2/16 14:00,14,234.44,234.44,0,188.57,180.48
1/2/16 17:00,17,257.25,257.25,22.813,31.429,60.159
1/3/16 8:00,8,211.64,211.64,0,94.286,60.159
1/3/16 11:00,11,187.96,187.96,0,220,180.48
1/3/16 14:00,14,,199.8,11.838,31.429,60.159
1/3/16 17:00,17,211.64,211.64,11.838,0,0
1/4/16 8:00,8,165.1,165.1,0,157.14,180.48
1/4/16 11:00,11,,165.1,0,157.14,482.2
1/4/16 14:00,14,165.1,165.1,0,157.14,120.32
1/4/16 17:00,17,165.1,165.1,0,125.71,150.4
1/5/16 8:00,8,142.24,142.24,0,157.14,210.56
1/5/16 11:00,11,165.1,165.1,22.86,251.43,270.71
1/5/16 14:00,14,348.55,348.55,183.45,314.29,572.29
1/5/16 17:00,17,325.72,325.72,0,377.14,421.11
1/6/16 8:00,8,,375.72,50.003,566.59,270.71
1/6/16 11:00,11,,425.73,50.003,251.43,572.29
1/6/16 14:00,14,,475.73,50.003,974.79,572.29
1/6/16 17:00,17,,525.73,50.003,345.71,602.34
1/7/16 8:00,8,,575.74,50.003,597.96,330.87
1/7/16 11:00,11,,625.74,50.003,,
1/7/16 14:00,14,675.74,675.74,50.003,,210.56
1/7/16 17:00,17,669.97,669.97,0,,240.63
1/8/16 8:00,8,,666.13,0,566.59,360.95
1/8/16 11:00,11,,662.29,0,282.86,
1/8/16 14:00,14,,658.44,0,251.43,0
1/8/16 17:00,17,,654.6,0,345.71,452.18
1/9/16 8:00,8,,650.75,0,440,210.56
1/9/16 11:00,11,,646.91,0,408.57,692.49
1/9/16 14:00,14,,643.07,0,440,90.238
1/9/16 17:00,17,,639.22,0,408.57,120.32
1/10/16 8:00,8,635.38,635.38,0,597.96,752.58
1/10/16 11:00,11,,629.61,0,251.43,
1/10/16 14:00,14,,623.85,0,0,60.159
1/10/16 17:00,17,618.08,618.08,0,597.14,541.43
1/11/16 8:00,8,,616.64,0,502.86,240.63
1/11/16 11:00,11,,615.2,0,157.14,0
1/11/16 14:00,14,,613.76,0,503.83,632.39
1/11/16 17:00,17,612.32,612.32,0,220,481.27
1/12/16 8:00,8,,602.23,0,440,421.11
1/12/16 11:00,11,,592.14,0,157.14,421.11
1/12/16 14:00,14,,582.06,0,0,0
1/12/16 17:00,17,571.97,571.97,0,220,332.23
1/13/16 8:00,8,,569.98,0,314.29,362.21
1/13/16 11:00,11,,567.98,0,408.57,210.56
1/13/16 14:00,14,565.99,565.99,0,440,481.27
1/13/16 17:00,17,565.99,565.99,0,503.83,572.29
1/14/16 8:00,8,565.99,565.99,0,440,512.22
1/14/16 11:00,11,,565.99,0,251.43,391.03
1/14/16 14:00,14,565.99,565.99,0,314.29,362.21
1/14/16 17:00,17,565.99,565.99,0,471.43,481.27
1/15/16 8:00,8,,570.34,4.3497,503.83,632.39
1/15/16 11:00,11,,574.69,4.3497,345.71,482.2
1/15/16 14:00,14,,579.04,4.3497,0,0
1/15/16 17:00,17,,583.39,4.3497,471.43,90.238
1/16/16 8:00,8,,587.74,4.3497,377.14,662.44
1/16/16 11:00,11,,592.09,4.3497,,
1/16/16 14:00,14,,596.44,4.3497,471.43,300.79
1/16/16 17:00,17,600.79,600.79,4.3497,408.57,572.29
1/17/16 8:00,8,595.02,595.02,0,314.29,360.95
1/17/16 11:00,11,595.02,595.02,0,251.43,360.95
1/17/16 14:00,14,,595.02,0,408.57,120.32
1/17/16 17:00,17,595.02,595.02,0,408.57,421.11
1/18/16 8:00,8,583.5,583.5,0,408.57,602.34
1/18/16 11:00,11,,583.5,0,377.14,512.22
1/18/16 14:00,14,,583.5,0,0,90.238
1/18/16 17:00,17,583.5,583.5,0,94.286,391.03
1/19/16 8:00,8,577.73,577.73,0,314.29,451.19
1/19/16 11:00,11,,574.85,0,503.83,632.39
1/19/16 14:00,14,571.97,571.97,0,,
1/19/16 17:00,17,571.97,571.97,0,157.14,632.39
1/20/16 8:00,8,560.22,560.22,0,314.29,572.29
1/20/16 11:00,11,565.99,565.99,5.768,440,662.44
1/20/16 14:00,14,,568.98,2.9895,0,0
1/20/16 17:00,17,571.97,571.97,2.9895,345.71,542.27
1/21/16 8:00,8,565.99,565.99,0,377.14,180.48
1/21/16 11:00,11,,564.07,0,314.29,0
1/21/16 14:00,14,,562.15,0,0,0
1/21/16 17:00,17,560.22,560.22,0,408.57,572.29
1/22/16 8:00,8,554.45,554.45,0,345.71,391.03
1/22/16 11:00,11,,548.69,0,440,451.19
1/22/16 14:00,14,542.92,542.92,0,282.86,360.95
1/22/16 17:00,17,542.92,542.92,0,440,602.34
1/23/16 8:00,8,542.92,542.92,0,,
1/23/16 11:00,11,548.69,548.69,5.7677,503.83,662.44
1/23/16 14:00,14,,551.57,2.8839,0,632.39
1/23/16 17:00,17,554.45,554.45,2.8839,408.57,602.34
1/24/16 8:00,8,548.69,548.69,0,440,722.53
1/24/16 11:00,11,,551.57,2.8839,,
1/24/16 14:00,14,554.45,554.45,2.8839,377.14,120.32
1/24/16 17:00,17,,548.69,0,157.14,391.03
1/25/16 8:00,8,542.92,542.92,0,314.29,512.22
1/25/16 11:00,11,,544.36,1.4419,251.43,0
1/25/16 14:00,14,,545.8,1.4419,0,0
1/25/16 17:00,17,,547.24,1.4419,31.429,452.18
1/26/16 8:00,8,548.69,548.69,1.4419,471.43,692.49
1/26/16 11:00,11,,545.8,0,377.14,0
1/26/16 14:00,14,,542.92,0,0,512.22
1/26/16 17:00,17,,540.04,0,188.57,451.19
1/27/16 8:00,8,537.15,537.15,0,377.14,572.29
1/27/16 11:00,11,,540.04,2.8838,345.71,481.27
1/27/16 14:00,14,542.92,542.92,2.8838,251.43,330.87
1/27/16 17:00,17,,537.15,0,408.57,481.27
1/28/16 8:00,8,,531.38,0,,421.11
1/28/16 11:00,11,,525.62,0,314.29,0
1/28/16 14:00,14,519.85,519.85,0,345.71,482.2
1/28/16 17:00,17,,512.64,0,125.71,332.23
1/29/16 8:00,8,,505.43,0,,
1/29/16 11:00,11,,498.22,0,,
1/29/16 14:00,14,491.02,491.02,0,282.86,512.22
1/29/16 17:00,17,,435.92,0,282.86,421.11
1/30/16 8:00,8,,380.82,0,,
1/30/16 11:00,11,325.72,325.72,0,,
1/30/16 14:00,14,325.72,325.72,0,157.14,240.63
1/30/16 17:00,17,371.38,371.38,45.663,62.857,272.38
1/31/16 8:00,8,394.22,394.22,22.835,157.14,482.2
1/31/16 11:00,11,439.9,439.9,45.677,188.57,452.18
1/31/16 14:00,14,439.9,439.9,0,157.14,452.18
1/31/16 17:00,17,491.02,491.02,51.121,188.57,452.18
2/1/16 8:00,8,462.74,462.74,0,125.71,692.49
2/1/16 11:00,11,,462.74,0,157.14,0
2/1/16 14:00,14,462.74,462.74,0,0,0
2/1/16 17:00,17,,488.41,25.673,62.857,512.22
2/2/16 8:00,8,514.08,514.08,25.673,188.57,482.2
2/2/16 11:00,11,,511.2,0,282.86,180.48
2/2/16 14:00,14,508.32,508.32,0,188.57,452.18
2/2/16 17:00,17,508.32,508.32,0,,391.03
2/3/16 8:00,8,508.32,508.32,0,377.14,602.34
2/3/16 11:00,11,502.55,502.55,0,282.86,512.22
2/3/16 14:00,14,508.32,508.32,5.7666,251.43,270.71
2/3/16 17:00,17,,502.55,0,31.429,60.159
2/4/16 8:00,8,496.78,496.78,0,282.86,421.11
2/4/16 11:00,11,,493.9,0,314.29,542.27
2/4/16 14:00,14,491.02,491.02,0,188.57,542.27
2/4/16 17:00,17,,465.46,0,188.57,482.2
2/5/16 8:00,8,439.9,439.9,0,251.43,60.159
2/5/16 11:00,11,,422.77,0,157.14,0
2/5/16 14:00,14,,405.64,0,0,421.11
2/5/16 17:00,17,,388.51,0,125.71,180.48
2/6/16 8:00,8,389.84,389.84,0,188.57,210.56
2/6/16 11:00,11,366.88,366.88,0,125.71,0
2/6/16 14:00,14,366.88,366.88,0,0,421.11
2/6/16 17:00,17,361.14,361.14,0,62.857,300.79
2/7/16 8:00,8,343.91,343.91,0,157.14,210.56
2/7/16 11:00,11,,342,0,157.14,0
2/7/16 14:00,14,,340.09,0,NaN,180.48
2/7/16 17:00,17,338.17,338.17,0,62.857,150.4
2/8/16 8:00,8,332.43,332.43,0,62.857,330.87
2/8/16 11:00,11,,320.95,0,31.429,0
2/8/16 14:00,14,,309.47,0,0,240.63
2/8/16 17:00,17,297.99,297.99,0,125.71,270.71
2/9/16 8:00,8,280.78,280.78,0,0,0
2/9/16 11:00,11,,266.43,0,31.429,0
2/9/16 14:00,14,252.08,252.08,0,0,0
2/9/16 17:00,17,252.08,252.08,0,0,0
2/10/16 8:00,8,246.35,246.35,0,62.857,180.48
2/10/16 11:00,11,234.87,234.87,0,0,0
2/10/16 14:00,14,234.87,234.87,0,0,90.238
2/10/16 17:00,17,229.14,229.14,0,0,90.238
2/11/16 8:00,8,240.61,240.61,11.473,0,30.079
2/11/16 11:00,11,200.3,200.3,0,0,90.238
2/11/16 14:00,14,229.14,229.14,28.841,0,180.48
2/11/16 17:00,17,200.3,200.3,0,0,0
2/12/16 8:00,8,194.55,194.55,0,0,90.238
2/12/16 11:00,11,194.55,194.55,0,0,90.238
2/12/16 14:00,14,188.81,188.81,0,0,0
2/12/16 17:00,17,183.07,183.07,0,0,0
2/13/16 8:00,8,171.59,171.59,0,0,60.159
2/13/16 11:00,11,,155.21,0,0,0
2/13/16 14:00,14,,138.84,0,0,30.079
2/13/16 17:00,17,122.46,122.46,0,0,0
2/14/16 8:00,8,122.46,122.46,0,0,0
2/14/16 11:00,11,148.62,148.62,26.153,0,0
2/14/16 14:00,14,122.46,122.46,0,0,0
2/14/16 17:00,17,40.821,40.821,0,0,0
2/15/16 8:00,8,0,0,0,0,0
2/15/16 11:00,11,,0,0,0,0
2/15/16 14:00,14,0,0,0,0,0
2/15/16 17:00,17,,0,0,0,0
2/16/16 8:00,8,0,0,0,0,0
2/16/16 11:00,11,,0,0,0,0
2/16/16 14:00,14,,0,0,0,0
2/16/16 17:00,17,0,0,0,0,0
2/17/16 8:00,8,0,0,,0,0
2/17/16 11:00,11,0,0,,,
2/17/16 14:00,14,,0,,,
2/17/16 17:00,17,,0,,0,0
2/18/16 8:00,8,212,212,212,,
2/18/16 11:00,11,235,235,23,,
2/18/16 14:00,14,200,200,0,0,60.159
2/18/16 17:00,17,154,154,0,0,0
2/19/16 8:00,8,206,206,52,0,0
2/19/16 11:00,11,,186,0,0,0
2/19/16 14:00,14,166,166,0,0,0
2/19/16 17:00,17,143,143,0,0,0
2/20/16 8:00,8,149,149,6,0,0
2/20/16 11:00,11,122,122,0,94.286,0
2/20/16 14:00,14,61,61,0,0,0
2/20/16 17:00,17,41,41,0,0,0
2/21/16 8:00,8,41,41,0,0,0
2/21/16 11:00,11,41,41,0,0,0
2/21/16 14:00,14,0,0,0,0,0
2/21/16 17:00,17,,,0,,
2/22/16 8:00,8,,,0,,
2/22/16 11:00,11,0,0,0,,
2/22/16 14:00,14,,,0,0,0
2/22/16 17:00,17,,,0,0,0
2/23/16 8:00,8,,,0,0,0
2/23/16 11:00,11,0,0,0,0,0
2/23/16 14:00,14,,,0,0,0
2/23/16 17:00,17,,,0,0,0
2/24/16 8:00,8,0,0,0,0,0
2/24/16 11:00,11,0,0,0,0,0
2/24/16 14:00,14,0,0,0,0,0
2/24/16 17:00,17,0,0,0,0,0
2/25/16 8:00,8,0,0,0,0,0
2/25/16 11:00,11,0,0,0,0,0
2/25/16 14:00,14,0,0,0,0,0
2/25/16 17:00,17,0,0,0,,
2/26/16 8:00,8,0,0,0,,
2/26/16 11:00,11,0,0,0,,
2/26/16 14:00,14,0,0,0,,
2/26/16 17:00,17,0,0,0,,
2/27/16 8:00,8,0,0,0,,
2/27/16 11:00,11,0,0,0,,
2/27/16 14:00,14,0,0,0,0,0
2/27/16 17:00,17,0,0,0,,
2/28/16 8:00,8,0,0,0,,
2/28/16 11:00,11,0,0,0,,
2/28/16 14:00,14,0,0,0,,
2/28/16 17:00,17,0,0,0,,
2/29/16 8:00,8,0,0,0,0,0
2/29/16 11:00,11,0,0,0,0,0
2/29/16 14:00,14,0,0,0,0,0
2/29/16 17:00,17,0,0,0,0,0
3/1/16 8:00,8,0,0,0,0,0
3/1/16 11:00,11,0,0,0,0,0
3/1/16 14:00,14,0,0,0,0,0
3/1/16 17:00,17,0,0,0,0,0
3/2/16 8:00,8,0,0,0,0,0
3/2/16 11:00,11,0,0,0,0,0
3/2/16 14:00,14,0,0,0,0,0
3/2/16 17:00,17,0,0,0,0,0
3/3/16 8:00,8,0,0,0,0,0
3/3/16 11:00,11,0,0,0,0,0
3/3/16 14:00,14,0,0,0,0,0
3/3/16 17:00,17,0,0,0,0,0
3/4/16 8:00,8,0,0,0,0,0
3/4/16 11:00,11,0,0,0,0,0
3/4/16 14:00,14,0,0,0,0,0
3/4/16 17:00,17,0,0,0,0,0
3/5/16 8:00,8,0,0,0,0,0
3/5/16 11:00,11,0,0,0,0,0
3/5/16 14:00,14,0,0,0,0,0
3/5/16 17:00,17,0,0,0,0,0
3/6/16 8:00,8,,,,94.286,602.34
3/6/16 11:00,11,,,,31.429,150.4
3/6/16 14:00,14,40.821,40.821,40.821,0,120.32
3/6/16 17:00,17,61.232,61.232,20.411,0,60.159
3/7/16 8:00,8,102.05,102.05,40.821,62.857,90.238
3/7/16 11:00,11,102.05,102.05,0,0,150.4
3/7/16 14:00,14,165.84,165.84,63.79,0,0
3/7/16 17:00,17,160.1,160.1,0,0,120.32
3/8/16 8:00,8,171.59,171.59,11.484,31.429,120.32
3/8/16 11:00,11,,85.793,0,0,0
3/8/16 14:00,14,20,20,0,0,30.079
3/8/16 17:00,17,,,,62.857,150.4
3/9/16 8:00,8,0,0,0,0,0
3/9/16 11:00,11,0,0,0,0,0
3/9/16 14:00,14,0,0,0,0,0
3/9/16 17:00,17,0,0,0,0,0
3/10/16 8:00,8,0,0,0,0,0
3/10/16 11:00,11,0,0,0,0,0
3/10/16 14:00,14,0,0,0,0,0
3/10/16 17:00,17,0,0,0,0,0
3/11/16 8:00,8,0,0,0,0,0
3/11/16 11:00,11,0,0,0,0,0
3/11/16 14:00,14,61.232,61.232,61.232,0,60.159
3/11/16 17:00,17,177.33,177.33,116.09,,
3/12/16 8:00,8,211.78,211.78,34.452,282.86,421.11
3/12/16 11:00,11,206,206,0,188.57,391.03
3/12/16 14:00,14,165.84,165.84,0,0,270.71
3/12/16 17:00,17,148.62,148.62,0,0,120.32
3/13/16 8:00,8,160.1,160.1,11.484,0,240.63
3/13/16 11:00,11,142.88,142.88,0,157.14,270.71
3/13/16 14:00,14,102.05,102.05,0,0,0
3/13/16 17:00,17,148.62,148.62,46.563,31.429,210.56
3/14/16 8:00,8,,99.078,0,0,90.238
3/14/16 11:00,11,,49.539,0,0,30.079
3/14/16 14:00,14,0,0,0,0,180.48
3/14/16 17:00,17,0,0,0,0,120.32
3/15/16 8:00,8,0,0,0,0,60.159
3/15/16 11:00,11,0,0,0,31.429,60.159
3/15/16 14:00,14,0,0,0,0,0
3/15/16 17:00,17,0,0,0,,
3/16/16 8:00,8,0,0,0,0,0
