"Plot Title: 20947454"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20947454, SEN S/N: 20947454)","Intensity, lum/ft² (LGR S/N: 20947454, SEN S/N: 20947454)","Coupler Attached (LGR S/N: 20947454)","Coupler Detached (LGR S/N: 20947454)","Host Connected (LGR S/N: 20947454)","End Of File (LGR S/N: 20947454)"
78,10/30/20 04:15:00 AM,36.338,0.0,,,,
79,10/30/20 04:30:00 AM,36.338,0.0,,,,
80,10/30/20 04:45:00 AM,35.951,0.0,,,,
81,10/30/20 05:00:00 AM,36.145,0.0,,,,
82,10/30/20 05:15:00 AM,35.758,0.0,,,,
83,10/30/20 05:30:00 AM,35.758,0.0,,,,
84,10/30/20 05:45:00 AM,35.564,0.0,,,,
85,10/30/20 06:00:00 AM,35.370,0.0,,,,
86,10/30/20 06:15:00 AM,35.370,0.0,,,,
87,10/30/20 06:30:00 AM,35.564,0.0,,,,
88,10/30/20 06:45:00 AM,35.175,0.0,,,,
89,10/30/20 07:00:00 AM,35.370,0.0,,,,
90,10/30/20 07:15:00 AM,35.175,10.0,,,,
91,10/30/20 07:30:00 AM,35.564,34.0,,,,
92,10/30/20 07:45:00 AM,35.564,74.0,,,,
93,10/30/20 08:00:00 AM,35.758,108.0,,,,
94,10/30/20 08:15:00 AM,36.723,136.0,,,,
95,10/30/20 08:30:00 AM,37.297,176.0,,,,
96,10/30/20 08:45:00 AM,38.818,384.0,,,,
97,10/30/20 09:00:00 AM,41.254,480.0,,,,
98,10/30/20 09:15:00 AM,44.013,576.0,,,,
99,10/30/20 09:30:00 AM,46.728,704.0,,,,
100,10/30/20 09:45:00 AM,62.940,4352.0,,,,
101,10/30/20 10:00:00 AM,77.400,5120.0,,,,
102,10/30/20 10:15:00 AM,84.115,5888.0,,,,
103,10/30/20 10:30:00 AM,91.053,6912.0,,,,
104,10/30/20 10:45:00 AM,82.152,7424.0,,,,
105,10/30/20 11:00:00 AM,83.579,8192.0,,,,
106,10/30/20 11:15:00 AM,93.304,864.0,,,,
107,10/30/20 11:30:00 AM,93.115,6144.0,,,,
108,10/30/20 11:45:00 AM,106.835,10240.0,,,,
109,10/30/20 12:00:00 PM,110.919,10240.0,,,,
110,10/30/20 12:15:00 PM,85.735,960.0,,,,
111,10/30/20 12:30:00 PM,77.574,6912.0,,,,
112,10/30/20 12:45:00 PM,80.206,8704.0,,,,
113,10/30/20 01:00:00 PM,71.339,800.0,,,,
114,10/30/20 01:15:00 PM,80.911,9728.0,,,,
115,10/30/20 01:30:00 PM,75.659,768.0,,,,
116,10/30/20 01:45:00 PM,67.735,864.0,,,,
117,10/30/20 02:00:00 PM,82.152,5376.0,,,,
118,10/30/20 02:15:00 PM,90.867,1664.0,,,,
119,10/30/20 02:30:00 PM,73.580,864.0,,,,
120,10/30/20 02:45:00 PM,93.304,7424.0,,,,
121,10/30/20 03:00:00 PM,101.484,8704.0,,,,
122,10/30/20 03:15:00 PM,85.194,896.0,,,,
123,10/30/20 03:30:00 PM,70.995,1344.0,,,,
124,10/30/20 03:45:00 PM,67.564,1024.0,,,,
125,10/30/20 04:00:00 PM,67.564,2816.0,,,,
126,10/30/20 04:15:00 PM,77.050,1984.0,,,,
127,10/30/20 04:30:00 PM,71.339,1536.0,,,,
128,10/30/20 04:45:00 PM,70.480,896.0,,,,
129,10/30/20 05:00:00 PM,71.168,1344.0,,,,
130,10/30/20 05:15:00 PM,63.797,336.0,,,,
131,10/30/20 05:30:00 PM,59.851,208.0,,,,
132,10/30/20 05:45:00 PM,56.577,90.0,,,,
133,10/30/20 06:00:00 PM,53.798,37.0,,,,
134,10/30/20 06:15:00 PM,51.172,5.0,,,,
135,10/30/20 06:30:00 PM,49.759,0.0,,,,
136,10/30/20 06:45:00 PM,48.160,0.0,,,,
137,10/30/20 07:00:00 PM,47.088,0.0,,,,
138,10/30/20 07:15:00 PM,46.008,0.0,,,,
139,10/30/20 07:30:00 PM,44.742,0.0,,,,
140,10/30/20 07:45:00 PM,44.013,0.0,,,,
141,10/30/20 08:00:00 PM,43.648,0.0,,,,
142,10/30/20 08:15:00 PM,42.732,0.0,,,,
143,10/30/20 08:30:00 PM,41.994,0.0,,,,
144,10/30/20 08:45:00 PM,41.625,0.0,,,,
145,10/30/20 09:00:00 PM,41.254,0.0,,,,
146,10/30/20 09:15:00 PM,40.696,0.0,,,,
147,10/30/20 09:30:00 PM,40.881,0.0,,,,
148,10/30/20 09:45:00 PM,40.321,0.0,,,,
149,10/30/20 10:00:00 PM,40.134,0.0,,,,
150,10/30/20 10:15:00 PM,39.760,0.0,,,,
151,10/30/20 10:30:00 PM,39.384,0.0,,,,
152,10/30/20 10:45:00 PM,38.818,0.0,,,,
153,10/30/20 11:00:00 PM,38.818,0.0,,,,
154,10/30/20 11:15:00 PM,38.629,0.0,,,,
155,10/30/20 11:30:00 PM,38.440,0.0,,,,
156,10/30/20 11:45:00 PM,38.061,0.0,,,,
157,10/31/20 12:00:00 AM,37.488,0.0,,,,
158,10/31/20 12:15:00 AM,37.297,0.0,,,,
159,10/31/20 12:30:00 AM,37.107,0.0,,,,
160,10/31/20 12:45:00 AM,37.488,0.0,,,,
161,10/31/20 01:00:00 AM,37.297,0.0,,,,
162,10/31/20 01:15:00 AM,37.488,0.0,,,,
163,10/31/20 01:30:00 AM,36.914,0.0,,,,
164,10/31/20 01:45:00 AM,36.723,0.0,,,,
165,10/31/20 02:00:00 AM,36.723,0.0,,,,
166,10/31/20 02:15:00 AM,36.723,0.0,,,,
167,10/31/20 02:30:00 AM,36.531,0.0,,,,
168,10/31/20 02:45:00 AM,36.145,0.0,,,,
169,10/31/20 03:00:00 AM,36.145,0.0,,,,
170,10/31/20 03:15:00 AM,36.338,0.0,,,,
171,10/31/20 03:30:00 AM,35.758,0.0,,,,
172,10/31/20 03:45:00 AM,35.564,0.0,,,,
173,10/31/20 04:00:00 AM,35.564,0.0,,,,
174,10/31/20 04:15:00 AM,35.564,0.0,,,,
175,10/31/20 04:30:00 AM,35.175,0.0,,,,
176,10/31/20 04:45:00 AM,35.175,0.0,,,,
177,10/31/20 05:00:00 AM,35.564,0.0,,,,
178,10/31/20 05:15:00 AM,34.981,0.0,,,,
179,10/31/20 05:30:00 AM,34.981,0.0,,,,
180,10/31/20 05:45:00 AM,35.175,0.0,,,,
181,10/31/20 06:00:00 AM,35.370,0.0,,,,
182,10/31/20 06:15:00 AM,35.175,0.0,,,,
183,10/31/20 06:30:00 AM,35.175,0.0,,,,
184,10/31/20 06:45:00 AM,34.981,0.0,,,,
185,10/31/20 07:00:00 AM,35.175,0.0,,,,
186,10/31/20 07:15:00 AM,35.175,9.0,,,,
187,10/31/20 07:30:00 AM,35.564,32.0,,,,
188,10/31/20 07:45:00 AM,35.370,54.0,,,,
189,10/31/20 08:00:00 AM,35.175,72.0,,,,
190,10/31/20 08:15:00 AM,35.564,87.0,,,,
191,10/31/20 08:30:00 AM,35.951,107.0,,,,
192,10/31/20 08:45:00 AM,37.870,336.0,,,,
193,10/31/20 09:00:00 AM,41.254,464.0,,,,
194,10/31/20 09:15:00 AM,44.195,512.0,,,,
195,10/31/20 09:30:00 AM,47.624,608.0,,,,
196,10/31/20 09:45:00 AM,62.254,4352.0,,,,
197,10/31/20 10:00:00 AM,79.678,5376.0,,,,
198,10/31/20 10:15:00 AM,87.368,6400.0,,,,
199,10/31/20 10:30:00 AM,94.633,7168.0,,,,
200,10/31/20 10:45:00 AM,86.459,7936.0,,,,
201,10/31/20 11:00:00 AM,88.650,8192.0,,,,
202,10/31/20 11:15:00 AM,97.525,672.0,,,,
203,10/31/20 11:30:00 AM,99.093,6912.0,,,,
204,10/31/20 11:45:00 AM,109.612,10752.0,,,,
205,10/31/20 12:00:00 PM,113.362,11264.0,,,,
206,10/31/20 12:15:00 PM,87.733,1024.0,,,,
207,10/31/20 12:30:00 PM,85.194,6656.0,,,,
208,10/31/20 12:45:00 PM,81.442,5120.0,,,,
209,10/31/20 01:00:00 PM,72.545,672.0,,,,
210,10/31/20 01:15:00 PM,82.864,9216.0,,,,
211,10/31/20 01:30:00 PM,79.326,608.0,,,,
212,10/31/20 01:45:00 PM,70.995,768.0,,,,
213,10/31/20 02:00:00 PM,83.399,4352.0,,,,
214,10/31/20 02:15:00 PM,93.115,2304.0,,,,
215,10/31/20 02:30:00 PM,75.832,704.0,,,,
216,10/31/20 02:45:00 PM,90.309,8192.0,,,,
217,10/31/20 03:00:00 PM,102.493,9216.0,,,,
218,10/31/20 03:15:00 PM,86.277,1408.0,,,,
219,10/31/20 03:30:00 PM,73.062,1088.0,,,,
220,10/31/20 03:45:00 PM,69.793,1920.0,,,,
221,10/31/20 04:00:00 PM,70.480,1984.0,,,,
222,10/31/20 04:15:00 PM,83.935,3200.0,,,,
223,10/31/20 04:30:00 PM,76.703,800.0,,,,
224,10/31/20 04:45:00 PM,73.234,512.0,,,,
225,10/31/20 05:00:00 PM,72.199,1536.0,,,,
226,10/31/20 05:15:00 PM,66.022,304.0,,,,
227,10/31/20 05:30:00 PM,61.569,176.0,,,,
228,10/31/20 05:45:00 PM,57.785,79.0,,,,
229,10/31/20 06:00:00 PM,55.189,29.0,,,,
230,10/31/20 06:15:00 PM,52.925,4.0,,,,
231,10/31/20 06:30:00 PM,51.346,0.0,,,,
232,10/31/20 06:45:00 PM,49.759,0.0,,,,
233,10/31/20 07:00:00 PM,48.517,0.0,,,,
234,10/31/20 07:15:00 PM,47.266,0.0,,,,
235,10/31/20 07:30:00 PM,46.369,0.0,,,,
236,10/31/20 07:45:00 PM,45.648,0.0,,,,
237,10/31/20 08:00:00 PM,45.104,0.0,,,,
238,10/31/20 08:15:00 PM,44.560,0.0,,,,
239,10/31/20 08:30:00 PM,44.013,0.0,,,,
240,10/31/20 08:45:00 PM,43.282,0.0,,,,
241,10/31/20 09:00:00 PM,43.099,0.0,,,,
242,10/31/20 09:15:00 PM,42.915,0.0,,,,
243,10/31/20 09:30:00 PM,42.915,0.0,,,,
244,10/31/20 09:45:00 PM,42.548,0.0,,,,
245,10/31/20 10:00:00 PM,42.179,0.0,,,,
246,10/31/20 10:15:00 PM,41.994,0.0,,,,
247,10/31/20 10:30:00 PM,41.810,0.0,,,,
248,10/31/20 10:45:00 PM,41.625,0.0,,,,
249,10/31/20 11:00:00 PM,41.254,0.0,,,,
250,10/31/20 11:15:00 PM,41.067,0.0,,,,
251,10/31/20 11:30:00 PM,40.881,0.0,,,,
252,10/31/20 11:45:00 PM,40.509,0.0,,,,
253,11/01/20 12:00:00 AM,40.134,0.0,,,,
254,11/01/20 12:15:00 AM,40.321,0.0,,,,
255,11/01/20 12:30:00 AM,40.134,0.0,,,,
256,11/01/20 12:45:00 AM,39.760,0.0,,,,
257,11/01/20 01:00:00 AM,39.760,0.0,,,,
258,11/01/20 01:15:00 AM,39.760,0.0,,,,
259,11/01/20 01:30:00 AM,39.573,0.0,,,,
260,11/01/20 01:45:00 AM,39.196,0.0,,,,
261,11/01/20 02:00:00 AM,39.384,0.0,,,,
262,11/01/20 02:15:00 AM,39.384,0.0,,,,
263,11/01/20 02:30:00 AM,39.196,0.0,,,,
264,11/01/20 02:45:00 AM,38.440,0.0,,,,
265,11/01/20 03:00:00 AM,38.061,0.0,,,,
266,11/01/20 03:15:00 AM,38.440,0.0,,,,
267,11/01/20 03:30:00 AM,38.629,0.0,,,,
268,11/01/20 03:45:00 AM,38.250,0.0,,,,
269,11/01/20 04:00:00 AM,38.061,0.0,,,,
270,11/01/20 04:15:00 AM,38.061,0.0,,,,
271,11/01/20 04:30:00 AM,38.250,0.0,,,,
272,11/01/20 04:45:00 AM,38.250,0.0,,,,
273,11/01/20 05:00:00 AM,37.679,0.0,,,,
274,11/01/20 05:15:00 AM,37.297,0.0,,,,
275,11/01/20 05:30:00 AM,37.297,0.0,,,,
276,11/01/20 05:45:00 AM,36.723,0.0,,,,
277,11/01/20 06:00:00 AM,36.723,0.0,,,,
278,11/01/20 06:15:00 AM,36.914,0.0,,,,
279,11/01/20 06:30:00 AM,37.297,0.0,,,,
280,11/01/20 06:45:00 AM,37.297,0.0,,,,
281,11/01/20 07:00:00 AM,37.297,0.0,,,,
282,11/01/20 07:15:00 AM,36.723,4.0,,,,
283,11/01/20 07:30:00 AM,36.914,18.0,,,,
284,11/01/20 07:45:00 AM,36.914,48.0,,,,
285,11/01/20 08:00:00 AM,37.488,97.0,,,,
286,11/01/20 08:15:00 AM,38.061,192.0,,,,
287,11/01/20 08:30:00 AM,39.947,368.0,,,,
288,11/01/20 08:45:00 AM,42.363,704.0,,,,
289,11/01/20 09:00:00 AM,44.560,608.0,,,,
290,11/01/20 09:15:00 AM,45.648,512.0,,,,
291,11/01/20 09:30:00 AM,46.548,1024.0,,,,
292,11/01/20 09:45:00 AM,50.466,2432.0,,,,
293,11/01/20 10:00:00 AM,57.958,1408.0,,,,
294,11/01/20 10:15:00 AM,59.337,3584.0,,,,
295,11/01/20 10:30:00 AM,74.446,4864.0,,,,
296,11/01/20 10:45:00 AM,76.703,6656.0,,,,
297,11/01/20 11:00:00 AM,76.006,2048.0,,,,
298,11/01/20 11:15:00 AM,76.354,1856.0,,,,
299,11/01/20 11:30:00 AM,84.115,6656.0,,,,
300,11/01/20 11:45:00 AM,101.685,9216.0,,,,
301,11/01/20 12:00:00 PM,103.923,10240.0,,,,
302,11/01/20 12:15:00 PM,79.853,1024.0,,,,
303,11/01/20 12:30:00 PM,76.876,3200.0,,,,
304,11/01/20 12:45:00 PM,75.659,3200.0,,,,
305,11/01/20 01:00:00 PM,71.168,1664.0,,,,
306,11/01/20 01:15:00 PM,72.891,2048.0,,,,
307,11/01/20 01:30:00 PM,74.791,1728.0,,,,
308,11/01/20 01:45:00 PM,70.995,1664.0,,,,
309,11/01/20 02:00:00 PM,74.446,2048.0,,,,
310,11/01/20 02:15:00 PM,77.749,3456.0,,,,
311,11/01/20 02:30:00 PM,73.926,1664.0,,,,
312,11/01/20 02:45:00 PM,80.206,2944.0,,,,
313,11/01/20 03:00:00 PM,81.266,3840.0,,,,
314,11/01/20 03:15:00 PM,76.703,1152.0,,,,
315,11/01/20 03:30:00 PM,69.278,800.0,,,,
316,11/01/20 03:45:00 PM,66.879,960.0,,,,
317,11/01/20 04:00:00 PM,66.537,1088.0,,,,
318,11/01/20 04:15:00 PM,69.793,1536.0,,,,
319,11/01/20 04:30:00 PM,66.366,480.0,,,,
320,11/01/20 04:45:00 PM,64.825,672.0,,,,
321,11/01/20 05:00:00 PM,69.449,2048.0,,,,
322,11/01/20 05:15:00 PM,64.481,248.0,,,,
323,11/01/20 05:30:00 PM,58.993,124.0,,,,
324,11/01/20 05:45:00 PM,55.537,59.0,,,,
325,11/01/20 06:00:00 PM,52.576,20.0,,,,
326,11/01/20 06:15:00 PM,50.819,2.0,,,,
327,11/01/20 06:30:00 PM,49.050,0.0,,,,
328,11/01/20 06:45:00 PM,47.802,0.0,,,,
329,11/01/20 07:00:00 PM,46.728,0.0,,,,
330,11/01/20 07:15:00 PM,45.648,0.0,,,,
331,11/01/20 07:30:00 PM,44.742,0.0,,,,
332,11/01/20 07:45:00 PM,44.195,0.0,,,,
333,11/01/20 08:00:00 PM,43.831,0.0,,,,
334,11/01/20 08:15:00 PM,43.282,0.0,,,,
335,11/01/20 08:30:00 PM,43.099,0.0,,,,
336,11/01/20 08:45:00 PM,42.732,0.0,,,,
337,11/01/20 09:00:00 PM,42.732,0.0,,,,
338,11/01/20 09:15:00 PM,42.363,0.0,,,,
339,11/01/20 09:30:00 PM,42.363,0.0,,,,
340,11/01/20 09:45:00 PM,42.363,0.0,,,,
341,11/01/20 10:00:00 PM,42.179,0.0,,,,
342,11/01/20 10:15:00 PM,41.625,0.0,,,,
343,11/01/20 10:30:00 PM,41.810,0.0,,,,
344,11/01/20 10:45:00 PM,41.625,0.0,,,,
345,11/01/20 11:00:00 PM,41.439,0.0,,,,
346,11/01/20 11:15:00 PM,41.625,0.0,,,,
347,11/01/20 11:30:00 PM,41.254,0.0,,,,
348,11/01/20 11:45:00 PM,40.881,0.0,,,,
349,11/02/20 12:00:00 AM,40.881,0.0,,,,
350,11/02/20 12:15:00 AM,40.881,0.0,,,,
351,11/02/20 12:30:00 AM,40.696,0.0,,,,
352,11/02/20 12:45:00 AM,40.696,0.0,,,,
353,11/02/20 01:00:00 AM,40.509,0.0,,,,
354,11/02/20 01:15:00 AM,40.134,0.0,,,,
355,11/02/20 01:30:00 AM,40.134,0.0,,,,
356,11/02/20 01:45:00 AM,40.134,0.0,,,,
357,11/02/20 02:00:00 AM,40.134,0.0,,,,
358,11/02/20 02:15:00 AM,40.134,0.0,,,,
359,11/02/20 02:30:00 AM,40.134,0.0,,,,
360,11/02/20 02:45:00 AM,40.321,0.0,,,,
361,11/02/20 03:00:00 AM,39.947,0.0,,,,
362,11/02/20 03:15:00 AM,40.134,0.0,,,,
363,11/02/20 03:30:00 AM,40.321,0.0,,,,
364,11/02/20 03:45:00 AM,39.947,0.0,,,,
365,11/02/20 04:00:00 AM,39.947,0.0,,,,
366,11/02/20 04:15:00 AM,39.947,0.0,,,,
367,11/02/20 04:30:00 AM,39.760,0.0,,,,
368,11/02/20 04:45:00 AM,40.134,0.0,,,,
369,11/02/20 05:00:00 AM,39.573,0.0,,,,
370,11/02/20 05:15:00 AM,39.947,0.0,,,,
371,11/02/20 05:30:00 AM,40.134,0.0,,,,
372,11/02/20 05:45:00 AM,39.947,0.0,,,,
373,11/02/20 06:00:00 AM,40.134,0.0,,,,
374,11/02/20 06:15:00 AM,40.134,0.0,,,,
375,11/02/20 06:30:00 AM,40.134,0.0,,,,
376,11/02/20 06:45:00 AM,39.947,0.0,,,,
377,11/02/20 07:00:00 AM,39.573,0.0,,,,
378,11/02/20 07:15:00 AM,39.573,4.0,,,,
379,11/02/20 07:30:00 AM,39.384,24.0,,,,
380,11/02/20 07:45:00 AM,38.818,112.0,,,,
381,11/02/20 08:00:00 AM,40.881,160.0,,,,
382,11/02/20 08:15:00 AM,40.696,94.0,,,,
383,11/02/20 08:30:00 AM,40.509,288.0,,,,
384,11/02/20 08:45:00 AM,43.099,512.0,,,,
385,11/02/20 09:00:00 AM,46.008,864.0,,,,
386,11/02/20 09:15:00 AM,49.228,704.0,,,,
387,11/02/20 09:30:00 AM,51.172,704.0,,,,
388,11/02/20 09:45:00 AM,59.851,3840.0,,,,
389,11/02/20 10:00:00 AM,76.006,4608.0,,,,
390,11/02/20 10:15:00 AM,85.014,5632.0,,,,
391,11/02/20 10:30:00 AM,91.800,4096.0,,,,
392,11/02/20 10:45:00 AM,85.735,6400.0,,,,
393,11/02/20 11:00:00 AM,85.735,5888.0,,,,
394,11/02/20 11:15:00 AM,89.938,800.0,,,,
395,11/02/20 11:30:00 AM,94.444,6656.0,,,,
396,11/02/20 11:45:00 AM,104.540,9728.0,,,,
397,11/02/20 12:00:00 PM,110.482,10240.0,,,,
398,11/02/20 12:15:00 PM,83.399,1536.0,,,,
399,11/02/20 12:30:00 PM,83.935,4352.0,,,,
400,11/02/20 12:45:00 PM,80.029,6400.0,,,,
401,11/02/20 01:00:00 PM,71.683,1088.0,,,,
402,11/02/20 01:15:00 PM,76.876,3456.0,,,,
403,11/02/20 01:30:00 PM,73.407,800.0,,,,
404,11/02/20 01:45:00 PM,69.622,1472.0,,,,
405,11/02/20 02:00:00 PM,72.718,3200.0,,,,
406,11/02/20 02:15:00 PM,82.508,4096.0,,,,
407,11/02/20 02:30:00 PM,74.098,1728.0,,,,
408,11/02/20 02:45:00 PM,83.935,5888.0,,,,
409,11/02/20 03:00:00 PM,73.580,1152.0,,,,
410,11/02/20 03:15:00 PM,68.248,896.0,,,,
411,11/02/20 03:30:00 PM,65.509,768.0,,,,
412,11/02/20 03:45:00 PM,63.797,608.0,,,,
413,11/02/20 04:00:00 PM,62.769,672.0,,,,
414,11/02/20 04:15:00 PM,63.111,800.0,,,,
415,11/02/20 04:30:00 PM,62.254,576.0,,,,
416,11/02/20 04:45:00 PM,62.769,576.0,,,,
417,11/02/20 05:00:00 PM,62.769,896.0,,,,
418,11/02/20 05:15:00 PM,60.712,336.0,,,,
419,11/02/20 05:30:00 PM,56.923,160.0,,,,
420,11/02/20 05:45:00 PM,54.495,54.0,,,,
421,11/02/20 06:00:00 PM,51.874,23.0,,,,
422,11/02/20 06:15:00 PM,49.937,0.0,,,,
423,11/02/20 06:30:00 PM,48.871,0.0,,,,
424,11/02/20 06:45:00 PM,47.624,0.0,,,,
425,11/02/20 07:00:00 PM,46.548,0.0,,,,
426,11/02/20 07:15:00 PM,45.466,0.0,,,,
427,11/02/20 07:30:00 PM,44.922,0.0,,,,
428,11/02/20 07:45:00 PM,44.560,0.0,,,,
429,11/02/20 08:00:00 PM,43.831,0.0,,,,
430,11/02/20 08:15:00 PM,43.466,0.0,,,,
431,11/02/20 08:30:00 PM,42.915,0.0,,,,
432,11/02/20 08:45:00 PM,42.179,0.0,,,,
433,11/02/20 09:00:00 PM,41.994,0.0,,,,
434,11/02/20 09:15:00 PM,41.810,0.0,,,,
435,11/02/20 09:30:00 PM,41.439,0.0,,,,
436,11/02/20 09:45:00 PM,40.881,0.0,,,,
437,11/02/20 10:00:00 PM,41.067,0.0,,,,
438,11/02/20 10:15:00 PM,41.067,0.0,,,,
439,11/02/20 10:30:00 PM,40.696,0.0,,,,
440,11/02/20 10:45:00 PM,40.134,0.0,,,,
441,11/02/20 11:00:00 PM,40.509,0.0,,,,
442,11/02/20 11:15:00 PM,40.321,0.0,,,,
443,11/02/20 11:30:00 PM,40.134,0.0,,,,
444,11/02/20 11:45:00 PM,39.760,0.0,,,,
445,11/03/20 12:00:00 AM,39.947,0.0,,,,
446,11/03/20 12:15:00 AM,39.760,0.0,,,,
447,11/03/20 12:30:00 AM,39.573,0.0,,,,
448,11/03/20 12:45:00 AM,39.573,0.0,,,,
449,11/03/20 01:00:00 AM,39.196,0.0,,,,
450,11/03/20 01:15:00 AM,39.196,0.0,,,,
451,11/03/20 01:30:00 AM,39.196,0.0,,,,
452,11/03/20 01:45:00 AM,39.007,0.0,,,,
453,11/03/20 02:00:00 AM,38.818,0.0,,,,
454,11/03/20 02:15:00 AM,39.007,0.0,,,,
455,11/03/20 02:30:00 AM,38.629,0.0,,,,
456,11/03/20 02:45:00 AM,38.629,0.0,,,,
457,11/03/20 03:00:00 AM,38.629,0.0,,,,
458,11/03/20 03:15:00 AM,38.250,0.0,,,,
459,11/03/20 03:30:00 AM,38.440,0.0,,,,
460,11/03/20 03:45:00 AM,38.250,0.0,,,,
461,11/03/20 04:00:00 AM,38.250,0.0,,,,
462,11/03/20 04:15:00 AM,38.061,0.0,,,,
463,11/03/20 04:30:00 AM,38.061,0.0,,,,
464,11/03/20 04:45:00 AM,37.679,0.0,,,,
465,11/03/20 05:00:00 AM,38.061,0.0,,,,
466,11/03/20 05:15:00 AM,37.679,0.0,,,,
